CLOCK,# SC,# SFO,ST_SIZE (KB),ST_COST ($),NET-IN (KB),NET-OUT (KB),NET-CLOUD (KB),NET-IN_COST ($),NET-OUT_COST ($),NET-CLOUD_COST ($),NET_COST ($)
60,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
180,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
240,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0
360,1,1,524288,1.15,0,0,1048576,0.0,0.0,0.01,0.01
420,1,1,524288,4.15,0,0,1048576,0.0,0.0,0.01,0.01
480,1,1,524288,7.15,0,0,1048576,0.0,0.0,0.01,0.01
540,1,2,524288,10.15,0,0,1048576,0.0,0.0,0.01,0.01
600,1,2,524288,13.15,0,0,1048576,0.0,0.0,0.01,0.01
660,1,2,1048576,18.85,524288,0,1572864,0.01,0.0,0.015,0.025
720,1,4,1048576,24.85,524288,0,1572864,0.01,0.0,0.015,0.025
780,1,4,1048576,30.85,524288,0,1572864,0.01,0.0,0.015,0.025
840,1,6,2097152,42.3,1572864,0,2621440,0.03,0.0,0.025,0.055
900,1,7,2621440,56.15,2097152,0,3145728,0.04,0.0,0.03,0.07
960,1,7,2621440,71.15,2097152,0,3145728,0.04,0.0,0.03,0.07
1020,1,8,3145728,88.7,2621440,0,3670016,0.05,0.0,0.035,0.085
1080,1,8,3670016,109.3,3145728,0,4194304,0.06,0.0,0.04,0.1
1140,1,9,4194304,133.05,3670016,0,4718592,0.07,0.0,0.045,0.115
1200,1,9,4194304,157.05,3670016,0,4718592,0.07,0.0,0.045,0.115
1260,1,10,4718592,184.0,4194304,0,5242880,0.08,0.0,0.05,0.13
1320,1,10,5242880,211.15,5242880,0,5767168,0.1,0.0,0.055,0.155
1380,1,10,5242880,241.15,5242880,0,5767168,0.1,0.0,0.055,0.155
1440,1,11,5242880,271.15,5242880,0,5767168,0.1,0.0,0.055,0.155
1500,1,11,5767168,302.8,5767168,0,6291456,0.11,0.0,0.06,0.17
1560,1,12,5767168,335.8,5767168,0,6291456,0.11,0.0,0.06,0.17
1620,1,13,6291456,370.6,6291456,0,6815744,0.12,0.0,0.065,0.185
1680,1,13,6815744,406.9,6815744,0,7340032,0.13,0.0,0.07,0.2
1740,1,14,6815744,445.9,6815744,0,7340032,0.13,0.0,0.07,0.2
1800,1,15,7340032,486.3,7340032,0,7864320,0.14,0.0,0.075,0.215
1860,1,15,7864320,529.1,7340032,0,8912896,0.14,0.0,0.085,0.225
1920,1,15,7864320,574.1,7340032,0,8912896,0.14,0.0,0.085,0.225
1980,1,16,7864320,619.1,7340032,0,8912896,0.14,0.0,0.085,0.225
2040,1,16,7864320,664.1,7340032,0,8912896,0.14,0.0,0.085,0.225
2100,1,17,8388608,711.7,7340032,0,9961472,0.14,0.0,0.095,0.235
2160,1,17,8388608,759.7,7340032,0,9961472,0.14,0.0,0.095,0.235
2220,1,17,8912896,810.45,7340032,0,11010048,0.14,0.0,0.105,0.245
2280,1,17,8912896,861.45,7340032,0,11010048,0.14,0.0,0.105,0.245
2340,1,18,8912896,912.45,7340032,0,11010048,0.14,0.0,0.105,0.245
2400,1,18,9437184,965.75,7340032,0,12058624,0.14,0.0,0.115,0.255
2460,1,18,9437184,1019.75,7340032,0,12058624,0.14,0.0,0.115,0.255
