JOB_ID,IN_TS(KB),IN_DR,IN_COST($),OUT_TS_PLANNED(KB),OUTPUT_TS_ACTUAL(KB),OUT_DR,OUT_COST($),TOTAL_COST($)
1,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
2,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
3,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
4,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
5,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
6,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
7,524288,IFTD_OC (4203),0.01,524288,0,OFTD_IC (4204),0.0,0.01
8,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
9,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
10,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
11,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
12,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
13,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
14,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
15,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
16,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
17,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
18,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
19,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
20,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
21,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
22,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
23,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
24,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
25,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
26,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
27,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
28,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
29,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
30,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
31,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
32,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
33,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
34,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
35,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
36,524288,IFTD_IC (4202),0.005,524288,0,OFTD_IC (4204),0.0,0.005
37,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
38,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
39,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
40,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
41,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
42,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
43,524288,IFTD_OC (4203),0.01,524288,0,OFTD_IC (4204),0.0,0.01
44,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
45,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
46,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
47,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
48,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
49,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
50,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
51,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
52,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
53,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
54,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
55,524288,IFTD_OC (4203),0.01,524288,524288,OFTD_IC (4204),0.005,0.015
56,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
57,524288,IFTD_IC (4202),0.005,524288,524288,OFTD_IC (4204),0.005,0.01
