VMID,RT,CO($),IID,TY,ST,TC,TA,TT,SL,NJ,JR,UT,SR,ID,LJCT,SDWT,IS_VS_VICTIM,VS_CASE,VS_VICTIM_ID
1,1488,1.6,VM-1,m3.xlarge,VM_ST_TERMINATE (3103),101,135,1589,34,10,1453,0.976,0.023,0.001,1588,0,False,None, -1
2,188,1.6,VM-2,m3.xlarge,VM_ST_TERMINATE (3103),501,541,689,40,1,147,0.782,0.213,0.005,688,0,False,None, -1
3,199,1.6,VM-3,m3.xlarge,VM_ST_TERMINATE (3103),601,652,800,51,1,147,0.739,0.256,0.005,799,0,False,None, -1
4,279,1.6,VM-4,m3.xlarge,VM_ST_TERMINATE (3103),1201,1241,1480,40,2,238,0.853,0.143,0.004,1479,0,False,None, -1
5,981,1.6,VM-5,m3.xlarge,VM_ST_TERMINATE (3103),1501,1537,2482,36,7,944,0.962,0.037,0.001,2481,0,False,None, -1
6,464,1.6,VM-6,m3.xlarge,VM_ST_TERMINATE (3103),2101,2140,2565,39,3,424,0.914,0.084,0.002,2564,0,False,None, -1
7,150,1.6,VM-7,m3.xlarge,VM_ST_TERMINATE (3103),2501,2546,2651,45,1,104,0.693,0.300,0.007,2650,0,False,None, -1
8,1882,1.6,VM-8,m3.xlarge,VM_ST_TERMINATE (3103),2601,2656,4483,55,13,1826,0.970,0.029,0.001,4482,0,False,None, -1
9,185,1.6,VM-9,m3.xlarge,VM_ST_TERMINATE (3103),2701,2738,2886,37,1,147,0.795,0.200,0.005,2885,0,False,None, -1
10,187,1.6,VM-10,m3.xlarge,VM_ST_TERMINATE (3103),3301,3340,3488,39,1,147,0.786,0.209,0.005,3487,0,False,None, -1
11,196,1.6,VM-11,m3.xlarge,VM_ST_TERMINATE (3103),3401,3449,3597,48,1,147,0.750,0.245,0.005,3596,0,False,None, -1
12,457,1.6,VM-12,m3.xlarge,VM_ST_TERMINATE (3103),4101,4133,4558,32,3,424,0.928,0.070,0.002,4557,0,False,None, -1
13,131,1.6,VM-13,m3.xlarge,VM_ST_TERMINATE (3103),4501,4532,4632,31,1,99,0.756,0.237,0.008,4631,0,False,None, -1
14,188,1.6,VM-14,m3.xlarge,VM_ST_TERMINATE (3103),4601,4641,4789,40,1,147,0.782,0.213,0.005,4788,0,False,None, -1
15,186,1.6,VM-15,m3.xlarge,VM_ST_TERMINATE (3103),4701,4739,4887,38,1,147,0.790,0.204,0.005,4886,0,False,None, -1
16,788,1.6,VM-16,m3.xlarge,VM_ST_TERMINATE (3103),4801,4853,5589,52,5,735,0.933,0.066,0.001,5588,0,False,None, -1
17,1274,1.6,VM-17,m3.xlarge,VM_ST_TERMINATE (3103),5201,5236,6475,35,9,1238,0.972,0.027,0.001,6474,0,False,None, -1
18,465,1.6,VM-18,m3.xlarge,VM_ST_TERMINATE (3103),6101,6141,6566,40,3,424,0.912,0.086,0.002,6565,0,False,None, -1
19,181,1.6,VM-19,m3.xlarge,VM_ST_TERMINATE (3103),6501,6534,6682,33,1,147,0.812,0.182,0.006,6681,0,False,None, -1
20,181,1.6,VM-20,m3.xlarge,VM_ST_TERMINATE (3103),6601,6634,6782,33,1,147,0.812,0.182,0.006,6781,0,False,None, -1
21,183,1.6,VM-21,m3.xlarge,VM_ST_TERMINATE (3103),6701,6736,6884,35,1,147,0.803,0.191,0.005,6883,0,False,None, -1
22,776,1.6,VM-22,m3.xlarge,VM_ST_TERMINATE (3103),6801,6841,7577,40,5,735,0.947,0.052,0.001,7576,0,False,None, -1
23,178,1.6,VM-23,m3.xlarge,VM_ST_TERMINATE (3103),7301,7331,7479,30,1,147,0.826,0.169,0.006,7478,0,False,None, -1
24,186,1.6,VM-24,m3.xlarge,VM_ST_TERMINATE (3103),7401,7439,7587,38,1,147,0.790,0.204,0.005,7586,0,False,None, -1
25,2083,1.6,VM-25,m3.xlarge,VM_ST_TERMINATE (3103),7501,7549,9584,48,15,2034,0.976,0.023,0.000,9583,0,False,None, -1
26,168,1.6,VM-26,m3.xlarge,VM_ST_TERMINATE (3103),8101,8138,8269,37,1,130,0.774,0.220,0.006,8268,0,False,None, -1
27,204,1.6,VM-27,m3.xlarge,VM_ST_TERMINATE (3103),8501,8557,8705,56,1,147,0.721,0.275,0.005,8704,0,False,None, -1
28,197,1.6,VM-28,m3.xlarge,VM_ST_TERMINATE (3103),8601,8650,8798,49,1,147,0.746,0.249,0.005,8797,0,False,None, -1
29,258,1.6,VM-29,m3.xlarge,VM_ST_TERMINATE (3103),9201,9257,9459,56,2,201,0.779,0.217,0.004,9458,0,False,None, -1
30,857,1.6,VM-30,m3.xlarge,VM_ST_TERMINATE (3103),9501,9560,10358,59,6,797,0.930,0.069,0.001,10357,0,False,None, -1
