TY,ID,CR,TR,RG,PM,ST,CT,DT,DR,NF,VL(KB),CO($)
SC,1,Job-1,Term_Simulator,None,SC_PERMISSION_PUBLIC (4001),SC_ST_DELETED (3902),230,10358,10128,95,49807360,24128.05

TY,ID,SC,SZ(KB),ON,ST,DST,PSZ(KB),CT,AT,DT,DR,CO($)
SFO,1,1,524288,Job-1,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,230,265,10358,10093,504.65
SFO,2,1,524288,Job-2,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,377,412,10358,9946,497.3
SFO,3,1,524288,Job-3,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,524,559,10358,9799,489.95
SFO,4,1,524288,Job-5,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,653,688,10358,9670,483.5
SFO,5,1,524288,Job-4,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,671,706,10358,9652,482.6
SFO,6,1,524288,Job-6,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,764,799,10358,9559,477.95
SFO,7,1,524288,Job-7,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,818,853,10358,9505,475.25
SFO,8,1,524288,Job-8,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,965,1000,10358,9358,467.9
SFO,9,1,524288,Job-9,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1112,1147,10358,9211,460.55
SFO,10,1,524288,Job-10,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1259,1294,10358,9064,453.2
SFO,11,1,524288,Job-12,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1353,1388,10358,8970,448.5
SFO,12,1,524288,Job-11,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1406,1441,10358,8917,445.85
SFO,13,1,524288,Job-14,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1553,1588,10358,8770,438.5
SFO,14,1,524288,Job-15,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1649,1684,10358,8674,433.7
SFO,15,1,524288,Job-16,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1779,1814,10358,8544,427.2
SFO,16,1,524288,Job-17,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,1909,1944,10358,8414,420.7
SFO,17,1,524288,Job-18,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2039,2074,10358,8284,414.2
SFO,18,1,524288,Job-19,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2169,2204,10358,8154,407.7
SFO,19,1,524288,Job-21,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2235,2270,10358,8088,404.4
SFO,20,1,524288,Job-20,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2299,2334,10358,8024,401.2
SFO,21,1,524288,Job-22,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2382,2417,10358,7941,397.05
SFO,22,1,524288,Job-23,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2446,2481,10358,7877,393.85
SFO,23,1,524288,Job-24,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2529,2564,10358,7794,389.7
SFO,24,1,524288,Job-26,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2768,2803,10358,7555,377.75
SFO,25,1,524288,Job-27,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2850,2885,10358,7473,373.65
SFO,26,1,524288,Job-28,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,2915,2950,10358,7408,370.4
SFO,27,1,524288,Job-29,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3062,3097,10358,7261,363.05
SFO,28,1,524288,Job-30,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3209,3244,10358,7114,355.7
SFO,29,1,524288,Job-31,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3356,3391,10358,6967,348.35
SFO,30,1,524288,Job-33,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3452,3487,10358,6871,343.55
SFO,31,1,524288,Job-32,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3503,3538,10358,6820,341.0
SFO,32,1,524288,Job-34,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3561,3596,10358,6762,338.1
SFO,33,1,524288,Job-35,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3650,3685,10358,6673,333.65
SFO,34,1,524288,Job-36,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3780,3815,10358,6543,327.15
SFO,35,1,524288,Job-37,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,3910,3945,10358,6413,320.65
SFO,36,1,524288,Job-38,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4040,4075,10358,6283,314.15
SFO,37,1,524288,Job-39,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4170,4205,10358,6153,307.65
SFO,38,1,524288,Job-41,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4228,4263,10358,6095,304.75
SFO,39,1,524288,Job-40,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4300,4335,10358,6023,301.15
SFO,40,1,524288,Job-42,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4375,4410,10358,5948,297.4
SFO,41,1,524288,Job-43,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4447,4482,10358,5876,293.8
SFO,42,1,524288,Job-44,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4522,4557,10358,5801,290.05
SFO,43,1,524288,Job-46,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4753,4788,10358,5570,278.5
SFO,44,1,524288,Job-47,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4851,4886,10358,5472,273.6
SFO,45,1,524288,Job-48,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,4965,5000,10358,5358,267.9
SFO,46,1,524288,Job-49,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5112,5147,10358,5211,260.55
SFO,47,1,524288,Job-50,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5259,5294,10358,5064,253.2
SFO,48,1,524288,Job-52,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5348,5383,10358,4975,248.75
SFO,49,1,524288,Job-51,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5406,5441,10358,4917,245.85
SFO,50,1,524288,Job-53,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5495,5530,10358,4828,241.4
SFO,51,1,524288,Job-54,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5553,5588,10358,4770,238.5
SFO,52,1,524288,Job-55,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5642,5677,10358,4681,234.05
SFO,53,1,524288,Job-56,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5772,5807,10358,4551,227.55
SFO,54,1,524288,Job-57,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,5902,5937,10358,4421,221.05
SFO,55,1,524288,Job-58,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,6032,6067,10358,4291,214.55
SFO,56,1,524288,Job-59,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,6162,6197,10358,4161,208.05
SFO,57,1,524288,Job-61,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,6236,6271,10358,4087,204.35
SFO,58,1,524288,Job-60,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,6292,6327,10358,4031,201.55
SFO,59,1,524288,Job-62,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,6383,6418,10358,3940,197.0
SFO,60,1,524288,Job-63,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,6439,6474,10358,3884,194.2
SFO,61,1,524288,Job-64,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,6530,6565,10358,3793,189.65
SFO,62,1,524288,Job-65,SFO_ST_FILE_DELETED (4103),SFO_DST_FULL_UPLOAD (4401),524288,6646,6681,10358,3677,183.85
